0 2.15738 -3.43385 -4.76071  5.59123 14.9761 13.3357 13.4363   1.6404 1.04489 -0.046845 0.96334 1.03663 -0.0551324 0.960663
1 2.13686 -3.46001 -4.7817  5.59687 14.9698 13.3408 13.4322   1.62905 1.06373 -0.0581175 0.948454 1.05555 -0.0663297 0.945842
2 2.12179 -3.48525 -4.80838  5.60704 14.962 13.3458 13.4303   1.61625 1.08138 -0.0685659 0.933675 1.07329 -0.0767051 0.931126
3 2.11312 -3.50777 -4.83804  5.62088 14.953 13.3504 13.4307   1.60261 1.09806 -0.0775312 0.919288 1.09006 -0.0855991 0.916801
4 2.11019 -3.52696 -4.86863  5.63716 14.9428 13.3545 13.4333   1.58836 1.114 -0.0847624 0.905382 1.1061 -0.0927594 0.902958
5 2.10977 -3.54368 -4.89876  5.65346 14.9318 13.3581 13.4377   1.57366 1.12926 -0.0904031 0.891986 1.12147 -0.0983273 0.889624
6 2.10738 -3.55938 -4.92722  5.66676 14.9202 13.3615 13.4433   1.55864 1.1438 -0.0948644 0.879176 1.13613 -0.102713 0.876878
7 2.10047 -3.57507 -4.95357  5.67554 14.9081 13.3649 13.4499   1.54315 1.15762 -0.0986259 0.867056 1.15007 -0.106395 0.864824
8 2.08985 -3.59118 -4.97918  5.68103 14.8953 13.3686 13.4574   1.52678 1.17072 -0.102075 0.855699 1.16329 -0.109763 0.853535
9 2.07869 -3.60773 -5.00687  5.68643 14.8818 13.3726 13.4661   1.50921 1.18305 -0.105385 0.84516 1.17575 -0.112988 0.843067
10 2.07007 -3.62438 -5.0393  5.69446 14.8675 13.3768 13.4761   1.49064 1.19461 -0.108448 0.835471 1.18746 -0.115965 0.83345
11 2.06418 -3.64132 -5.0772  5.7055 14.8527 13.3811 13.4872   1.47157 1.20569 -0.11106 0.826573 1.19867 -0.118491 0.824625
12 2.05907 -3.65999 -5.11897  5.71906 14.8376 13.3854 13.4993   1.45222 1.21669 -0.11312 0.818386 1.20981 -0.120462 0.816513
13 2.05395 -3.6824 -5.16123  5.73636 14.8223 13.3899 13.5122   1.43235 1.22787 -0.114556 0.811009 1.22114 -0.121807 0.809213
14 2.04989 -3.71017 -5.20032  5.76007 14.8065 13.395 13.526   1.41152 1.23924 -0.115331 0.80478 1.23266 -0.122486 0.803062
15 2.04773 -3.74469 -5.23455  5.79243 14.79 13.4006 13.5407   1.38936 1.25064 -0.115673 0.800039 1.24422 -0.12273 0.798402
16 2.04746 -3.78764 -5.26578  5.8351 14.7724 13.4069 13.5568   1.36558 1.26188 -0.116134 0.796864 1.25561 -0.123089 0.795312
17 2.04933 -3.8404 -5.29845  5.88973 14.7536 13.4138 13.5747   1.33988 1.27273 -0.117341 0.795047 1.26663 -0.124191 0.793581
18 2.05421 -3.90277 -5.33648  5.95698 14.7335 13.4214 13.5942   1.3121 1.28313 -0.119701 0.794234 1.27719 -0.126444 0.792855
19 2.06273 -3.97232 -5.38058  6.03504 14.7124 13.43 13.6146   1.28235 1.29322 -0.123202 0.794047 1.28745 -0.129836 0.792757
20 2.0747 -4.04586 -5.4284  6.12057 14.6906 13.4398 13.635   1.25084 1.30332 -0.127493 0.794195 1.29772 -0.134015 0.792994
21 2.09031 -4.12129 -5.47675  6.2116 14.6684 13.4506 13.655   1.21779 1.31357 -0.132069 0.79465 1.30812 -0.138476 0.793537
22 2.11017 -4.19807 -5.5228  6.30824 14.6459 13.4623 13.6745   1.1836 1.32375 -0.136483 0.795741 1.31847 -0.142773 0.794714
23 2.13329 -4.27778 -5.56431  6.41107 14.6236 13.4746 13.6935   1.14897 1.33347 -0.140698 0.797928 1.32835 -0.146868 0.796987
24 2.15698 -4.36346 -5.60012  6.52044 14.6016 13.4871 13.712   1.1145 1.34238 -0.145162 0.801465 1.33741 -0.151211 0.800607
25 2.17951 -4.45731 -5.63072  6.63683 14.58 13.4999 13.7303   1.08007 1.3503 -0.150428 0.806254 1.34549 -0.156356 0.805478
26 2.20144 -4.55928 -5.65821  6.76072 14.5584 13.5132 13.7482   1.04515 1.35723 -0.156757 0.81191 1.35257 -0.162565 0.811213
27 2.22458 -4.66677 -5.68557  6.89135 14.5367 13.5274 13.7656   1.00936 1.36334 -0.163945 0.817858 1.35883 -0.169635 0.817236
28 2.2505 -4.7751 -5.71516  7.02561 14.5149 13.5422 13.782   0.972706 1.36888 -0.171457 0.823442 1.36451 -0.177033 0.822891
29 2.27919 -4.87979 -5.74722  7.15899 14.493 13.5578 13.797   0.935216 1.37407 -0.178884 0.828077 1.36984 -0.184348 0.827592
30 2.30945 -4.97919 -5.77977  7.28864 14.471 13.5742 13.8106   0.896871 1.37889 -0.186162 0.831488 1.37477 -0.191519 0.831063
