0 -3.60804 -3.60804 0   8.2569 8.2569 7.48709 -0.701693 0 0 -0.701693 0 0
1 -3.60209 -3.60163 0.000781917   8.25252 8.25647 7.48599 -0.700229 -0.000920591 0.000908218 -0.700208 -0.00092058 0.000908233
2 -3.59161 -3.5909 0.00155869   8.248 8.2559 7.48483 -0.698731 -0.00183885 0.00181897 -0.698688 -0.0018388 0.00181904
3 -3.57643 -3.57578 0.00232839   8.24335 8.25519 7.48361 -0.697194 -0.00275466 0.00273219 -0.697129 -0.00275456 0.00273233
4 -3.55636 -3.55615 0.00308872   8.23855 8.25434 7.48233 -0.695611 -0.0036679 0.00364774 -0.695525 -0.00366772 0.003648
5 -3.53119 -3.53187 0.00383704   8.23363 8.25336 7.48102 -0.693989 -0.00457843 0.00456555 -0.693883 -0.00457815 0.00456595
6 -3.5007 -3.50279 0.00457037   8.22857 8.25224 7.47965 -0.69232 -0.0054861 0.00548547 -0.692194 -0.00548571 0.00548603
7 -3.46469 -3.46873 0.00528535   8.22339 8.25098 7.47824 -0.690604 -0.00639075 0.00640737 -0.69046 -0.00639022 0.00640811
8 -3.42296 -3.42952 0.00597832   8.21809 8.2496 7.47679 -0.688845 -0.00729224 0.00733114 -0.688685 -0.00729157 0.00733209
9 -3.37532 -3.38502 0.00664547   8.21268 8.2481 7.47532 -0.687043 -0.00819045 0.00825668 -0.68687 -0.00818963 0.00825784
10 -3.32165 -3.33505 0.00728297   8.20716 8.24649 7.47382 -0.685205 -0.00908527 0.00918394 -0.685022 -0.00908431 0.0091853
11 -3.26189 -3.27953 0.00788688   8.20155 8.24477 7.4723 -0.683337 -0.00997664 0.0101129 -0.683148 -0.00997554 0.0101144
12 -3.19603 -3.21837 0.00845351   8.19586 8.24296 7.47076 -0.681448 -0.0108645 0.0110434 -0.681256 -0.0108633 0.0110452
13 -3.12419 -3.15157 0.00897982   8.1901 8.24108 7.46922 -0.679549 -0.0117489 0.0119757 -0.679359 -0.0117476 0.0119776
14 -3.04658 -3.07918 0.00946335   8.1843 8.23913 7.46767 -0.677654 -0.01263 0.0129099 -0.677472 -0.0126286 0.0129119
15 -2.96353 -3.00135 0.00990269   8.17846 8.23714 7.46612 -0.67578 -0.0135079 0.0138463 -0.67561 -0.0135065 0.0138482
16 -2.87553 -2.91831 0.0102978   8.17262 8.23514 7.46458 -0.673947 -0.0143829 0.0147852 -0.673796 -0.0143816 0.0147871
17 -2.78319 -2.8304 0.0106502   8.16679 8.23314 7.46305 -0.672179 -0.0152555 0.0157272 -0.672051 -0.0152544 0.0157289
18 -2.68727 -2.73806 0.0109631   8.161 8.23118 7.46154 -0.670503 -0.0161263 0.016673 -0.670402 -0.0161253 0.0166744
19 -2.58867 -2.64183 0.011242   8.15529 8.2293 7.46006 -0.668949 -0.016996 0.0176234 -0.66888 -0.0169953 0.0176244
20 -2.48841 -2.54235 0.0114942   8.14969 8.22752 7.45861 -0.667553 -0.0178655 0.0185796 -0.667518 -0.0178651 0.0185802
21 -2.38758 -2.44037 0.0117293   8.14423 8.2259 7.4572 -0.666354 -0.0187361 0.0195429 -0.666353 -0.0187361 0.0195429
22 -2.28736 -2.33668 0.0119591   8.13897 8.22449 7.45585 -0.665394 -0.0196091 0.0205148 -0.665426 -0.0196095 0.0205142
