0 1.87397 -2.94671 -2.56085  0.578468 20.5536 19.8152 19.9722   0.0824842 0.652648 -0.0544451 0.745962 0.661233 -0.0547957 0.761113
1 1.85029 -2.97657 -2.58963  0.579174 20.5474 19.8223 19.9681   0.0815237 0.67245 -0.065371 0.733031 0.680711 -0.0659991 0.747654
2 1.83149 -3.0057 -2.62438  0.580816 20.5398 19.8294 19.9659   0.0802767 0.691126 -0.0755286 0.720096 0.699102 -0.0763651 0.734168
3 1.81861 -3.03213 -2.66226  0.583225 20.5311 19.836 19.9658   0.0787821 0.708863 -0.0842925 0.707436 0.716603 -0.0852637 0.720948
4 1.81102 -3.05529 -2.70128  0.586163 20.5214 19.8422 19.9676   0.0770679 0.72587 -0.0914155 0.695158 0.733422 -0.0924516 0.70811
5 1.80549 -3.07615 -2.74027  0.589212 20.5109 19.8479 19.9711   0.0751815 0.742193 -0.0970253 0.683314 0.749606 -0.0980632 0.695703
6 1.79754 -3.09641 -2.77827  0.59186 20.4999 19.8533 19.9756   0.0731823 0.757783 -0.101509 0.671992 0.765102 -0.102492 0.683817
7 1.78468 -3.11731 -2.81511  0.593861 20.4886 19.8587 19.981   0.0710871 0.772618 -0.105317 0.661296 0.77989 -0.106199 0.672556
8 1.76778 -3.1394 -2.85231  0.595454 20.4767 19.8644 19.9872   0.0688565 0.786709 -0.108815 0.651283 0.793975 -0.109558 0.661982
9 1.7501 -3.16261 -2.89258  0.597212 20.464 19.8704 19.9945   0.0664463 0.800017 -0.112162 0.641986 0.807315 -0.112742 0.652137
10 1.73479 -3.18634 -2.93822  0.599634 20.4506 19.8765 20.0028   0.0638618 0.812559 -0.115262 0.633422 0.81992 -0.115657 0.64305
11 1.72221 -3.21039 -2.98963  0.602778 20.4367 19.8827 20.0123   0.0611522 0.824608 -0.117925 0.625553 0.832055 -0.118116 0.634687
12 1.71054 -3.23594 -3.04507  0.60638 20.4226 19.8889 20.0226   0.0583529 0.836564 -0.120058 0.618335 0.844111 -0.120026 0.627001
13 1.69898 -3.26494 -3.10135  0.610266 20.4082 19.8953 20.0338   0.0554559 0.848659 -0.121587 0.611893 0.856321 -0.121316 0.620114
14 1.68853 -3.29915 -3.15514  0.61446 20.3934 19.9023 20.0457   0.0524247 0.860897 -0.122461 0.606576 0.868688 -0.121936 0.614366
15 1.67996 -3.34015 -3.20509  0.619072 20.3778 19.9098 20.0585   0.0492105 0.873129 -0.122885 0.602718 0.881068 -0.122097 0.610087
16 1.67318 -3.38982 -3.25331  0.624344 20.3614 19.918 20.0727   0.045754 0.885137 -0.123373 0.600385 0.893241 -0.122319 0.607345
17 1.66846 -3.4496 -3.30431  0.630677 20.3436 19.9268 20.0885   0.041995 0.896725 -0.124512 0.599365 0.905004 -0.123206 0.605929
18 1.6668 -3.51907 -3.36177  0.638402 20.3244 19.9363 20.1058   0.0379193 0.907828 -0.126679 0.599319 0.916279 -0.125151 0.605514
19 1.66904 -3.59531 -3.42587  0.647454 20.3042 19.9469 20.1242   0.0335829 0.918618 -0.129861 0.599921 0.927217 -0.128151 0.605792
20 1.67524 -3.67459 -3.4937  0.657424 20.2832 19.9585 20.1427   0.0290692 0.929395 -0.133733 0.600943 0.938103 -0.131886 0.606551
21 1.68566 -3.75443 -3.56178  0.66797 20.2616 19.9714 20.1609   0.0244319 0.940282 -0.137826 0.602399 0.949053 -0.135887 0.607809
22 1.70083 -3.83427 -3.62736  0.678956 20.2397 19.9851 20.1788   0.0197148 0.951062 -0.141724 0.604608 0.959851 -0.139736 0.609884
23 1.7196 -3.91596 -3.68852  0.69023 20.2177 19.9993 20.1963   0.0149903 0.961334 -0.145398 0.607993 0.970105 -0.143402 0.613199
24 1.73915 -4.00281 -3.7444  0.701595 20.1961 20.0137 20.2134   0.0103142 0.970755 -0.149289 0.61276 0.979477 -0.14733 0.617962
25 1.75774 -4.0972 -3.79569  0.713023 20.1747 20.0283 20.2302   0.00568032 0.979158 -0.153941 0.618779 0.987801 -0.15207 0.624047
26 1.77592 -4.19904 -3.84446  0.724708 20.1533 20.0433 20.2466   0.00103903 0.986538 -0.159622 0.625655 0.995067 -0.157902 0.631054
27 1.79554 -4.30554 -3.89337  0.736874 20.1317 20.059 20.2625   -0.00363302 0.993046 -0.166166 0.632833 1.00142 -0.164655 0.638422
28 1.81818 -4.41181 -3.94436  0.749533 20.1098 20.0754 20.2773   -0.00831676 0.998938 -0.173093 0.639706 1.00712 -0.17184 0.645536
29 1.84382 -4.51335 -3.99747  0.762404 20.0878 20.0924 20.291   -0.0129938 1.00441 -0.180022 0.645739 1.01236 -0.179074 0.65185
30 1.87128 -4.60866 -4.05088  0.775131 20.0654 20.1101 20.3034   -0.0176651 1.00944 -0.186897 0.650674 1.01713 -0.186303 0.657093
31 1.89995 -4.69974 -4.10115  0.787549 20.0429 20.1284 20.3146   -0.0223238 1.01384 -0.193874 0.654706 1.02124 -0.19369 0.661451
32 1.93084 -4.79051 -4.14424  0.799777 20.0205 20.1474 20.3247   -0.0269396 1.0173 -0.201231 0.658389 1.02437 -0.201516 0.665474
33 1.96584 -4.8846 -4.17795  0.81214 19.9982 20.1668 20.3336   -0.0315032 1.01948 -0.2093 0.662215 1.02619 -0.210119 0.669654
34 2.00668 -4.98451 -4.20362  0.825092 19.9759 20.1867 20.3418   -0.0360432 1.02011 -0.218352 0.666251 1.02643 -0.219778 0.674056
35 2.05454 -5.0912 -4.22526  0.839097 19.9534 20.2069 20.3495   -0.0405958 1.01905 -0.228476 0.670108 1.02494 -0.230586 0.678286
36 2.1096 -5.20331 -4.24685  0.854335 19.9307 20.2273 20.3566   -0.0451629 1.01633 -0.239504 0.673114 1.02175 -0.242372 0.681669
37 2.17019 -5.31703 -4.26941  0.870426 19.9077 20.2478 20.363   -0.0497146 1.01209 -0.251064 0.674531 1.01701 -0.254752 0.683452
38 2.23365 -5.42791 -4.29085  0.886629 19.8847 20.2684 20.3685   -0.0542221 1.00642 -0.262782 0.673801 1.01082 -0.267337 0.683058
39 2.29879 -5.5324 -4.30839  0.902398 19.8616 20.289 20.373   -0.0586708 0.999297 -0.274337 0.670831 1.00316 -0.279795 0.680372
40 2.36651 -5.62859 -4.31993  0.917596 19.8387 20.3092 20.3766   -0.0630243 0.990575 -0.285437 0.666064 0.993897 -0.291818 0.675825
41 2.43763 -5.71726 -4.32416  0.932292 19.8165 20.3285 20.3797   -0.0671964 0.980103 -0.295946 0.660127 0.982891 -0.303259 0.670034
42 2.51136 -5.80163 -4.3209  0.946578 19.7957 20.3459 20.3828   -0.0710826 0.967794 -0.305917 0.653353 0.970062 -0.314155 0.663321
43 2.58652 -5.88456 -4.31147  0.960566 19.7764 20.3605 20.3863   -0.0746269 0.953705 -0.3153 0.645695 0.955475 -0.324448 0.655625
44 2.66229 -5.96633 -4.29847  0.974336 19.7588 20.3719 20.3911   -0.0778291 0.938084 -0.323707 0.636977 0.939386 -0.333734 0.64675
45 2.73752 -6.04458 -4.28507  0.987793 19.7429 20.3799 20.3973   -0.0807097 0.921385 -0.330424 0.627151 0.922259 -0.341275 0.636635
